,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
28,a6 + (a3*x0 + a5)*tanh(3*x0*(a2*x1 + a4)) + (x0*tanh(x1) + gauss(x0) + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.23068, 0.0203381, -0.0202623), 'a2': (-1.10008, 0.101716, -0.114015), 'a3': (0.0702, 0, 0), 'a4': (1.15156, 0.119805, -0.106034), 'a5': (2.14358, 0.0755866, -0.0732756), 'a6': (6.58284, 0.0412465, -0.0413198)}","{'a1, a2': -0.04463, 'a1, a4': 0.06811, 'a1, a5': -0.1092, 'a1, a6': -0.02884, 'a2, a4': -0.9938, 'a2, a5': 0.6661, 'a2, a6': -0.2152, 'a4, a5': -0.6691, 'a4, a6': 0.1927, 'a5, a6': -0.06753}",0.6706,0.9052,223,109.6,0.4914
29,a3*x0**2 + a7 + (a4 + a6*tanh(3*x0) + a6*tanh(x0*x1))*gauss(a5*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-0.836867, 0.106462, -0.106247), 'a2': (-0.679251, 0.0911549, -0.0903434), 'a3': (-0.277943, 0.018568, -0.0185951), 'a4': (0.90157, 0.1101, -0.109912), 'a5': (0.854124, 0.0274868, -0.0267613), 'a6': (2.45483, 0.0589448, -0.0582576), 'a7': (7.32269, 0.0806543, -0.0811682)}","{'a1, a2': -0.9725, 'a1, a3': 0.3468, 'a1, a4': 0.03156, 'a1, a5': 0.1669, 'a1, a6': -0.2999, 'a1, a7': -0.0517, 'a2, a3': -0.2408, 'a2, a4': -0.03196, 'a2, a5': -0.1862, 'a2, a6': 0.2368, 'a2, a7': 0.02875, 'a3, a4': 0.1819, 'a3, a5': 0.1776, 'a3, a6': -0.4975, 'a3, a7': -0.45, 'a4, a5': -0.1961, 'a4, a6': -0.4331, 'a4, a7': -0.8036, 'a5, a6': 0.2874, 'a5, a7': 0.1679, 'a6, a7': 0.3612}",0.6193,0.9192,221,99.4,0.4498
30,a3*x0**2 + a7 + (a5*tanh(a6*x0) + a5*tanh(x0*x1) + gauss(x1))*gauss(a4*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.05098, 0.0991848, -0.0990584), 'a2': (-0.515108, 0.0866601, -0.0859618), 'a3': (-0.30289, 0.0161028, -0.0161523), 'a4': (0.832777, 0.0240814, -0.0235197), 'a5': (2.51689, 0.049395, -0.0489201), 'a6': (6.60204, 1.51465, -1.08101), 'a7': (7.46799, 0.0438452, -0.0438278)}","{'a1, a2': -0.9663, 'a1, a3': 0.3194, 'a1, a4': 0.275, 'a1, a5': -0.3309, 'a1, a6': -0.09137, 'a1, a7': -0.02153, 'a2, a3': -0.2055, 'a2, a4': -0.2763, 'a2, a5': 0.2589, 'a2, a6': 0.08018, 'a2, a7': -0.01532, 'a3, a4': 0.2467, 'a3, a5': -0.472, 'a3, a6': 0.0088, 'a3, a7': -0.5141, 'a4, a5': 0.2001, 'a4, a6': 0.06363, 'a4, a7': -0.04484, 'a5, a6': -0.1683, 'a5, a7': -0.02163, 'a6, a7': 0.1587}",0.5327,0.9402,221,79.02,0.3575
31,a3*x0**2 + a7 + (a5*tanh(a6*x0) + a5*tanh(x0*x1) + gauss(x1))*gauss(a4*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.05099, 0.0991866, -0.0990566), 'a2': (-0.515108, 0.0866603, -0.0859617), 'a3': (-0.302891, 0.016103, -0.0161521), 'a4': (0.832779, 0.0240794, -0.0235216), 'a5': (2.5169, 0.0493936, -0.0489215), 'a6': (6.60215, 1.51453, -1.08112), 'a7': (7.46799, 0.0438444, -0.0438287)}","{'a1, a2': -0.9663, 'a1, a3': 0.3194, 'a1, a4': 0.275, 'a1, a5': -0.3309, 'a1, a6': -0.09137, 'a1, a7': -0.02153, 'a2, a3': -0.2055, 'a2, a4': -0.2763, 'a2, a5': 0.2589, 'a2, a6': 0.08019, 'a2, a7': -0.01532, 'a3, a4': 0.2467, 'a3, a5': -0.472, 'a3, a6': 0.008796, 'a3, a7': -0.5141, 'a4, a5': 0.2001, 'a4, a6': 0.06363, 'a4, a7': -0.04484, 'a5, a6': -0.1683, 'a5, a7': -0.02162, 'a6, a7': 0.1587}",0.5327,0.9402,221,79.02,0.3575
32,a3*x0**2 + a7 + (a5*tanh(a6*x0) + a5*tanh(x0*x1) + gauss(x1**2))*gauss(a4*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.08421, 0.100495, -0.100295), 'a2': (-0.487963, 0.0876367, -0.0869845), 'a3': (-0.30363, 0.0158819, -0.0159291), 'a4': (0.816539, 0.0235535, -0.0230199), 'a5': (2.49796, 0.0481935, -0.0477253), 'a6': (6.707, 1.52838, -1.08957), 'a7': (7.42477, 0.0429817, -0.0429573)}","{'a1, a2': -0.9664, 'a1, a3': 0.3225, 'a1, a4': 0.2698, 'a1, a5': -0.3313, 'a1, a6': -0.08922, 'a1, a7': -0.04575, 'a2, a3': -0.2045, 'a2, a4': -0.2724, 'a2, a5': 0.2566, 'a2, a6': 0.07757, 'a2, a7': 0.005124, 'a3, a4': 0.2393, 'a3, a5': -0.4807, 'a3, a6': 0.007752, 'a3, a7': -0.5226, 'a4, a5': 0.2037, 'a4, a6': 0.06653, 'a4, a7': -0.03348, 'a5, a6': -0.1637, 'a5, a7': -0.002959, 'a6, a7': 0.1611}",0.5191,0.9432,221,75.56,0.3419
33,a3*x0**2 + a7 + (a5*tanh(a6*x0) + a5*tanh(x0*x1) + gauss(x1**2))*gauss(a4*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.0842, 0.100491, -0.100299), 'a2': (-0.487963, 0.087637, -0.0869842), 'a3': (-0.30363, 0.0158814, -0.0159297), 'a4': (0.816537, 0.0235552, -0.0230181), 'a5': (2.49796, 0.0481953, -0.0477235), 'a6': (6.70688, 1.52851, -1.08945), 'a7': (7.42477, 0.0429829, -0.0429561)}","{'a1, a2': -0.9665, 'a1, a3': 0.3225, 'a1, a4': 0.2698, 'a1, a5': -0.3313, 'a1, a6': -0.08921, 'a1, a7': -0.04575, 'a2, a3': -0.2045, 'a2, a4': -0.2724, 'a2, a5': 0.2566, 'a2, a6': 0.07757, 'a2, a7': 0.005124, 'a3, a4': 0.2393, 'a3, a5': -0.4807, 'a3, a6': 0.007756, 'a3, a7': -0.5226, 'a4, a5': 0.2037, 'a4, a6': 0.06653, 'a4, a7': -0.03349, 'a5, a6': -0.1637, 'a5, a7': -0.002963, 'a6, a7': 0.1611}",0.5191,0.9432,221,75.56,0.3419
34,a3*x0**2 + a7 + (a6*tanh(x0*x1) + a6*tanh(a4 + 5*x0) + gauss(x1**2))*gauss(a5*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.03682, 0.10036, -0.100234), 'a2': (-0.525571, 0.0872772, -0.0865741), 'a3': (-0.311508, 0.0158796, -0.0159273), 'a4': (-0.204, 0, 0), 'a5': (0.808765, 0.0232516, -0.022726), 'a6': (2.50015, 0.0473323, -0.0468594), 'a7': (7.46135, 0.0419262, -0.0419251)}","{'a1, a2': -0.962, 'a1, a3': 0.3218, 'a1, a5': 0.265, 'a1, a6': -0.3446, 'a1, a7': -0.02127, 'a2, a3': -0.2069, 'a2, a5': -0.2727, 'a2, a6': 0.2677, 'a2, a7': -0.0143, 'a3, a5': 0.252, 'a3, a6': -0.4857, 'a3, a7': -0.5304, 'a5, a6': 0.2185, 'a5, a7': -0.06322, 'a6, a7': 0.02447}",0.522,0.9426,222,75.0,0.3378
35,a3*x0**2 + a7 + (a6*tanh(x0*x1) + a6*tanh(a4 + 5*x0) + gauss(x1**3))*gauss(a5*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.0504, 0.100506, -0.10038), 'a2': (-0.514972, 0.0873394, -0.0866386), 'a3': (-0.309342, 0.0157988, -0.0158449), 'a4': (-0.154, 0, 0), 'a5': (0.80412, 0.0231537, -0.0226343), 'a6': (2.4915, 0.0469522, -0.0464822), 'a7': (7.43284, 0.0416047, -0.0416023)}","{'a1, a2': -0.9665, 'a1, a3': 0.3261, 'a1, a5': 0.2636, 'a1, a6': -0.3454, 'a1, a7': -0.03505, 'a2, a3': -0.2074, 'a2, a5': -0.2704, 'a2, a6': 0.2655, 'a2, a7': -0.003244, 'a3, a5': 0.2453, 'a3, a6': -0.4882, 'a3, a7': -0.5322, 'a5, a6': 0.2219, 'a5, a7': -0.05207, 'a6, a7': 0.03229}",0.5155,0.944,222,73.74,0.3322
36,a3*x0**2 + a7 + (a6*tanh(x0*x1) + a6*tanh(a4 + 6*x0) + gauss(x1**3))*gauss(a5*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.07158, 0.0992136, -0.0991103), 'a2': (-0.499814, 0.0864662, -0.0857861), 'a3': (-0.308476, 0.0156951, -0.0157401), 'a4': (-0.154, 0, 0), 'a5': (0.808394, 0.0230664, -0.0225438), 'a6': (2.48535, 0.0467767, -0.0463099), 'a7': (7.43545, 0.0414447, -0.0414413)}","{'a1, a2': -0.9653, 'a1, a3': 0.3249, 'a1, a5': 0.2693, 'a1, a6': -0.3484, 'a1, a7': -0.03704, 'a2, a3': -0.2055, 'a2, a5': -0.2732, 'a2, a6': 0.2688, 'a2, a7': -0.002573, 'a3, a5': 0.2414, 'a3, a6': -0.4884, 'a3, a7': -0.5344, 'a5, a6': 0.2203, 'a5, a7': -0.04773, 'a6, a7': 0.03541}",0.5109,0.945,222,73.1,0.3293
37,a3*x0**2 + a7 + (a6*tanh(x0*x1) + a6*tanh(a4 + 6*x0) + gauss(x1**3))*gauss(a5*x1*(a1 + a2*x1 + x0*x1)),"{'a1': (-1.07158, 0.0992136, -0.0991103), 'a2': (-0.499814, 0.0864662, -0.0857861), 'a3': (-0.308476, 0.0156951, -0.0157401), 'a4': (-0.154, 0, 0), 'a5': (0.808394, 0.0230664, -0.0225438), 'a6': (2.48535, 0.0467767, -0.0463099), 'a7': (7.43545, 0.0414447, -0.0414413)}","{'a1, a2': -0.9653, 'a1, a3': 0.3249, 'a1, a5': 0.2693, 'a1, a6': -0.3484, 'a1, a7': -0.03704, 'a2, a3': -0.2055, 'a2, a5': -0.2732, 'a2, a6': 0.2688, 'a2, a7': -0.002573, 'a3, a5': 0.2414, 'a3, a6': -0.4884, 'a3, a7': -0.5344, 'a5, a6': 0.2203, 'a5, a7': -0.04773, 'a6, a7': 0.03541}",0.5109,0.945,222,73.1,0.3293
